ID,Continent,region,country,isoCode,sids,ots,name_descriptor,year_publication,scale_(EAA),oceanAccountComponent,OA_component,environmentalAssets,flowsToEconomy,oceanEconomy,flowsToEnvironment,governance,Compiling_SEEA_CF,Compiling_SEEA_EA,EcosystemExtent,EcosystemCondition,EcosystemServices,MonetaryAccounts,SatelliteAccount,OceanEconomyActivities,SectorSpecific,OESA,BlueEconomy,OceanTourismSatelliteAccount,Links,Links_2,Links_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Africa,,Ghana,GHA,,,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Africa,West Africa,"Benin, Côte d’Ivoire, Ghana, Guinea, Mauritania, São Tomé and Príncipe, Senegal, and Togo. - in the report only Nigeria, Ghana and Guinea",,,,West Africa Coastal Areas Management (WACA) program,ongoing-reported in 2021,Regional,Environmental-Economic,Environmental assets and flows to economy,Yes,Yes,No,No,No,,,Yes,,Yes,Yes,,,,,,,https://www.wavespartnership.org/en/knowledge-center/gps-annual-report-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Africa,,Kenya,KEN,,,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Africa,,Liberia,LBR,,,Conservation and Sustainable use of Liberia’s Coastal Natural Capital,2016,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,,Yes,,,,,,,,,,https://www.thegef.org/projects-operations/projects/9573,https://www.conservation.org/docs/default-source/gef-documents/nca-liberia/liberia-nca_project-progress-achievement-_year-1-(2020---june-2021).pdf?sfvrsn=e11d3347_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Africa,,Madagascar,MDG,,,WAVES - Madagascar Country,2015,National,Environmental-Economic,Flows to economy,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,https://www.wavespartnership.org/sites/waves/files/images/NCA%20and%20mgt%20of%20the%20Malagasy%20fisheries%20sector%20FINAL%2008_03_13.docx,https://www.wavespartnership.org/sites/waves/files/images/Country%20Report%20Madagascar.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Africa,,Madagascar,MDG,,,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Africa,,Mauritius,MUS,yes,,Experimental ecosystem natural capital accounts Mauritius case study,2014,National,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,,Yes,Yes,,,,,,,,,https://projects.eionet.europa.eu/leac/library/case_study_mauritius/enca_mauritius_ioc2014/download/en/1/ENCA_Mauritius_IOC2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Africa,,Morocco,MAR,,,WAVES - Fisheries accounts,2021,National,Environmental-Economic,Flows to economy,No,Yes,No,No,No,Yes,,,,,,,,,,,,https://www.wavespartnership.org/en/knowledge-center/gps-annual-report-2020,https://www.worldbank.org/en/news/feature/2021/03/08/accounting-natural-capital-in-mena-shifts-policies-towards-sustainable-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Africa,,Mozambique,MOZ,,,Pilot project - GOAP support,Ongoing,Local,Environmental-Economic,Environmental assets,Yes,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Africa,,Seychelles,SYC,yes,,"Blue economy satellite accounts a comparative analysis of the blue economy in Seychelles, Saint Lucia and the Bahamas",2020,National,Ocean economic activity,Ocean Economy,No,No,Yes,No,No,,,,,,,Yes,Yes,,,BESA,,https://www.uneca.org/sites/default/files/SROs/BESA%20Draft%20Working%20Paper.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
