fid,COUNTRY,ISO_CC,CONTINENT,LAND_TYPE,LAND_RANK,COUNTRYAFF,ID,Continent_2,region,country_2,isoCode,sids,ots,name_descriptor,year_publication,scale_(EAA),oceanAccountComponent,OA_component,environmentalAssets,flowsToEconomy,oceanEconomy,flowsToEnvironment,governance,Compiling_SEEA_CF,Compiling_SEEA_EA,EcosystemExtent,EcosystemCondition,EcosystemServices,MonetaryAccounts,SatelliteAccount,OceanEconomyActivities,SectorSpecific,OESA,BlueEconomy,OceanTourismSatelliteAccount,Links,Links_2,Links_3,OA_components,OA_components_abb,OA_combination_reclass,OA_Count,OA_Count_disagg
1,Afghanistan,AFG,Asia,Primary land,5,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
2,Albania,ALB,Europe,Primary land,5,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
3,Albania,ALB,Europe,Very small island,1,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
4,Albania,ALB,Europe,Small island,2,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
5,Algeria,DZA,Africa,Small island,2,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
6,Algeria,DZA,Africa,Very small island,1,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
7,Algeria,DZA,Africa,Primary land,5,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
8,American Samoa,ASM,Oceania,Very small island,1,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
9,American Samoa,ASM,Oceania,Small island,2,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
10,American Samoa,ASM,Oceania,Primary land,5,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
11,Andorra,AND,Europe,Primary land,5,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
12,Angola,AGO,Africa,Very small island,1,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
13,Angola,AGO,Africa,Primary land,5,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
14,Angola,AGO,Africa,Small island,2,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0
15,Anguilla,AIA,North America,Primary land,5,United Kingdom,21,America,Caribbean,Anguilla,AIA,FALSE,TRUE,"Natural Capital
 Accounting",2019,UK Overseas Territories,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,yes,TRUE,yes,Physical and monetary flow,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://data.jncc.gov.uk/data/62e82176-5053-4733-bd05-e33b15bbf88c/ot-nca-sup-sat-19-ang-nca-jun-2019.pdf,"http://gov.ai/documents/Anguilla%20Ecosystem%20Account%20Draft%20Press%20Release%20December%2031,%202021.pdf",,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
16,Anguilla,AIA,North America,Very small island,1,United Kingdom,21,America,Caribbean,Anguilla,AIA,FALSE,TRUE,"Natural Capital
 Accounting",2019,UK Overseas Territories,Environmental-Economic,Environmental assets and flows to economy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,yes,TRUE,yes,Physical and monetary flow,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://data.jncc.gov.uk/data/62e82176-5053-4733-bd05-e33b15bbf88c/ot-nca-sup-sat-19-ang-nca-jun-2019.pdf,"http://gov.ai/documents/Anguilla%20Ecosystem%20Account%20Draft%20Press%20Release%20December%2031,%202021.pdf",,EnvironmentalAssets + FlowsToEconomy,EA + FEcon,Environmental-Economic,1,2
